repo_name,stars,issues,open_prs,closed_prs,total_prs,language,is_fork,url,size_mb,uses_travis,travis_start_date,travis_end_date,travis_duration_days,total_LOC,test_LOC,commits_before_CI,commits_after_CI,total_committers,test_changes_per_commit,commits_for_test,project_start_date,project_end_date,total_duration,testloc_beforeci,testloc_afterci,domain
alibaba/nacos,30811,242,13,4134,4147,Java,FALSE,https://github.com/alibaba/nacos,59.37,TRUE,7/20/2018 16:27,2021-06-17T12:23:37Z,1062,241467,120016,0,5167,385,0.41,176,6/1/2017,2021-06-17T12:23:37Z,2007,7000,120000,technology
alibaba/canal,28794,1156,62,635,697,Java,FALSE,https://github.com/alibaba/canal,23.52,TRUE,3/21/2019 8:16,2021-06-17T09:44:23Z,819,113319,20749,1124,556,206,1.99,229,2014-09-23 15:11:35 +0800,2025-01-24 17:14:41 +0800,3776,0,20749,technology
OpenAPITools/openapi-generator,22745,5122,516,11242,11758,Java,FALSE,https://github.com/OpenAPITools/openapi-generator,881.42,TRUE,2/5/2014 17:08,2025-02-14T18:42:49Z,4027,3319769,1431793,1034,19872,406,47.77,4658,7/6/2011 7:45,2025-03-16 22:03:03 +0800,5001,4134,1428960,technology
pockethub/PocketHub,9386,127,2,628,630,Java,FALSE,https://github.com/pockethub/PocketHub,11.67,TRUE,11/15/2012 19:01,2020-10-01T10:20:12Z,2876,31550,240,2127,1385,109,0.05,62,2011-10-12 23:36:58 +0100,2020-04-11 14:16:07 +0000,3103,0,240,technology
java-native-access/jna,8616,107,14,830,844,Java,FALSE,https://github.com/java-native-access/jna,698.9,TRUE,6/25/2014 20:27,2023-01-30T15:32:30Z,3140,163492,120331,2581,1604,164,0.46,129,1998-10-01 22:08:33 +0000,2025-03-16 12:45:35 +0100,9662,0,120344,social
checkstyle/checkstyle,8457,882,35,10706,10741,Java,FALSE,https://github.com/checkstyle/checkstyle,162.45,TRUE,9/10/2013 14:33,2024-02-03T23:59:32Z,3798,597271,469182,2659,11897,379,1.55,1189,2001-06-22 13:15:09 +0000,3/16/2025 17:08,8668,3411,466792,social
rest-assured/rest-assured,6899,576,27,327,354,Java,FALSE,https://github.com/rest-assured/rest-assured,11.02,TRUE,5/16/2014 16:38,2021-05-12T00:31:06Z,2552,58032,36750,1006,1314,149,0.07,174,2010-10-21 17:43:07 +0200,2025-02-14 14:45:30 +0100,5229,0,36750,finance
bisq-network/bisq,4822,163,5,3892,3897,Java,FALSE,https://github.com/bisq-network/bisq,848.74,TRUE,9/29/2014 7:28,2021-05-31T13:40:29Z,2436,309334,44925,3215,15456,237,0.1,736,3/12/2014 2:42,2025-02-25 12:54:30 +0000,4003,0,44925,technology
hneemann/Digital,4641,133,21,116,137,Java,FALSE,https://github.com/hneemann/Digital,39.83,TRUE,6/28/2016 13:31,2023-10-13T13:53:23Z,2663,574809,477143,656,3892,29,0.02,757,2016-03-11 23:16:40 +0100,2025-03-10 13:34:09 +0100,3285,0,477143,social
apache/rocketmq-externals,4593,116,42,402,444,Java,FALSE,https://github.com/apache/rocketmq-externals,35.44,TRUE,2/4/2017 2:16,2022-12-08T04:36:31Z,2133,1113418,10718,392,614,109,2.89,95,2017-01-06 20:00:35 +0800,2024-12-09 17:00:27 +0800,2893,0,10742,technology
